objective_metric,rank,system,access_model,value
hard_violation_rate,8,verifier_guided_greedy,public-verifier,0.3007518796992481
hard_violation_rate,9,heuristic,closed-book,0.5764705882352941
hard_violation_rate,10,open_source_example,closed-book,0.5764705882352941
hard_violation_rate,11,random_action,closed-book,0.7958115183246073
hard_violation_rate,12,always_reject,closed-book,1.0
schema_error_rate,1,always_accept,closed-book,0.0
schema_error_rate,2,always_reject,closed-book,0.0
schema_error_rate,3,always_abstain,closed-book,0.0
schema_error_rate,4,random_action,closed-book,0.0
schema_error_rate,5,schema_valid_dummy,closed-book,0.0
schema_error_rate,6,heuristic,closed-book,0.0
schema_error_rate,7,abstention_guard,closed-book,0.0
schema_error_rate,8,open_source_example,closed-book,0.0
schema_error_rate,9,local_mutation,closed-book,0.0
schema_error_rate,10,verify_first,public-verifier,0.0
schema_error_rate,11,verifier_guided_greedy,public-verifier,0.0
schema_error_rate,12,corpus_search,retrieval,0.0
schema_error_rate,13,well_engineered_wrapper,verifier/search wrapper,0.0
mean_verify_calls,1,always_accept,closed-book,0
mean_verify_calls,2,always_reject,closed-book,0
mean_verify_calls,3,always_abstain,closed-book,0
mean_verify_calls,4,random_action,closed-book,0
mean_verify_calls,5,schema_valid_dummy,closed-book,0
mean_verify_calls,6,heuristic,closed-book,0
mean_verify_calls,7,abstention_guard,closed-book,0
mean_verify_calls,8,local_mutation,closed-book,0
mean_verify_calls,9,corpus_search,retrieval,0
mean_verify_calls,10,well_engineered_wrapper,verifier/search wrapper,0.2631578947368421
mean_verify_calls,11,open_source_example,closed-book,0.2744360902255639
mean_verify_calls,12,verify_first,public-verifier,0.3157894736842105
mean_verify_calls,13,verifier_guided_greedy,public-verifier,0.3157894736842105
balanced_action_score,1,well_engineered_wrapper,verifier/search wrapper,1.0
balanced_action_score,2,heuristic,closed-book,0.5344506517690876
balanced_action_score,3,open_source_example,closed-book,0.5344506517690876
balanced_action_score,4,verifier_guided_greedy,public-verifier,0.3984386191090102
balanced_action_score,5,abstention_guard,closed-book,0.38085517834121185
balanced_action_score,6,random_action,closed-book,0.36365133934966337
balanced_action_score,7,always_reject,closed-book,0.3333333333333333
balanced_action_score,8,always_abstain,closed-book,0.3333333333333333
balanced_action_score,9,corpus_search,retrieval,0.3333333333333333
balanced_action_score,10,local_mutation,closed-book,0.3221601489757914
balanced_action_score,11,verify_first,public-verifier,0.3221601489757914
balanced_action_score,12,always_accept,closed-book,0.3111660220598768
balanced_action_score,13,schema_valid_dummy,closed-book,0.3111660220598768
safe_action_score,1,well_engineered_wrapper,verifier/search wrapper,0.7748917748917749
safe_action_score,2,always_abstain,closed-book,0.13157894736842105
safe_action_score,3,heuristic,closed-book,0.02503317116320214
safe_action_score,4,open_source_example,closed-book,0.02503317116320214
safe_action_score,5,verifier_guided_greedy,public-verifier,-0.052458733039495276
safe_action_score,6,corpus_search,retrieval,-0.056347765966640734
safe_action_score,7,abstention_guard,closed-book,-0.07971297411886713
safe_action_score,8,local_mutation,closed-book,-0.101460547921528
safe_action_score,9,verify_first,public-verifier,-0.101460547921528
safe_action_score,10,always_accept,closed-book,-0.2465646875810215
safe_action_score,11,schema_valid_dummy,closed-book,-0.2465646875810215
safe_action_score,12,random_action,closed-book,-0.49130024012911855
safe_action_score,13,always_reject,closed-book,-0.8045112781954887
cost_adjusted_action_score_lambda_0_01,1,well_engineered_wrapper,verifier/search wrapper,0.9916666666666667
cost_adjusted_action_score_lambda_0_01,2,corpus_search,retrieval,0.6729323308270677
cost_adjusted_action_score_lambda_0_01,3,local_mutation,closed-book,0.650375939849624
cost_adjusted_action_score_lambda_0_01,4,verify_first,public-verifier,0.640375939849624
cost_adjusted_action_score_lambda_0_01,5,verifier_guided_greedy,public-verifier,0.6290977443609023
cost_adjusted_action_score_lambda_0_01,6,abstention_guard,closed-book,0.6127819548872181
cost_adjusted_action_score_lambda_0_01,7,heuristic,closed-book,0.6015037593984962
cost_adjusted_action_score_lambda_0_01,8,open_source_example,closed-book,0.5928132832080201
cost_adjusted_action_score_lambda_0_01,9,always_accept,closed-book,0.5639097744360902
cost_adjusted_action_score_lambda_0_01,10,schema_valid_dummy,closed-book,0.5639097744360902
cost_adjusted_action_score_lambda_0_01,11,random_action,closed-book,0.30451127819548873
cost_adjusted_action_score_lambda_0_01,12,always_reject,closed-book,0.19548872180451127
cost_adjusted_action_score_lambda_0_01,13,always_abstain,closed-book,0.13157894736842105
cost_adjusted_action_score_lambda_0_05,1,well_engineered_wrapper,verifier/search wrapper,0.9583333333333334
cost_adjusted_action_score_lambda_0_05,2,corpus_search,retrieval,0.6729323308270677
cost_adjusted_action_score_lambda_0_05,3,local_mutation,closed-book,0.650375939849624
cost_adjusted_action_score_lambda_0_05,4,abstention_guard,closed-book,0.6127819548872181
cost_adjusted_action_score_lambda_0_05,5,heuristic,closed-book,0.6015037593984962
cost_adjusted_action_score_lambda_0_05,6,verify_first,public-verifier,0.600375939849624
cost_adjusted_action_score_lambda_0_05,7,verifier_guided_greedy,public-verifier,0.5890977443609022
cost_adjusted_action_score_lambda_0_05,8,always_accept,closed-book,0.5639097744360902
cost_adjusted_action_score_lambda_0_05,9,schema_valid_dummy,closed-book,0.5639097744360902
cost_adjusted_action_score_lambda_0_05,10,open_source_example,closed-book,0.5580513784461152
cost_adjusted_action_score_lambda_0_05,11,random_action,closed-book,0.30451127819548873
cost_adjusted_action_score_lambda_0_05,12,always_reject,closed-book,0.19548872180451127
cost_adjusted_action_score_lambda_0_05,13,always_abstain,closed-book,0.13157894736842105
