task_id,split,family,protocol,spec_id,expected_action,input_smiles,has_witness,has_proof,num_hard_constraints,num_soft_preferences,budget,corpus_source,invariance_group_id,boundary_case_type
sgchem_v0.3__boundary_precision__spec_v2_amide_friendly_dev__00002,dev,boundary_precision,L2,spec_v2_amide_friendly_dev,ACCEPT,NCCN(CCN)CCO,True,False,3,2,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,logP:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_aromatic_pref_test__00001,test,boundary_precision,L3,spec_v2_aromatic_pref_test,ACCEPT,Fc1ccncc1,True,False,3,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_aromatic_pref_test__00002,test,boundary_precision,L2,spec_v2_aromatic_pref_test,ACCEPT,Fc1ccncc1,True,False,3,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_aromatic_pref_test__00003,test,boundary_precision,L3,spec_v2_aromatic_pref_test,ACCEPT,CC(F)CCl,True,False,3,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_aromatic_pref_test__00004,test,boundary_precision,L2,spec_v2_aromatic_pref_test,ACCEPT,CC(CO)NCCN,True,False,3,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBA:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_aromatic_pref_test__00005,test,boundary_precision,L3,spec_v2_aromatic_pref_test,ACCEPT,CCCCCCCCCCCCCl,True,False,3,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBA:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_aromatic_pref_test__00006,test,boundary_precision,L2,spec_v2_aromatic_pref_test,ACCEPT,Fc1ccccn1,True,False,3,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_aromatic_pref_test__00007,test,boundary_precision,L3,spec_v2_aromatic_pref_test,ACCEPT,NC(=O)c1cc(C(N)=O)c(C(N)=O)cn1,True,False,3,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_aromatic_pref_test__00008,test,boundary_precision,L2,spec_v2_aromatic_pref_test,ACCEPT,NC(=O)c1cc(C(N)=O)cc(C(N)=O)c1,True,False,3,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBA:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_cns_like_test__00001,test,boundary_precision,L3,spec_v2_cns_like_test,ACCEPT,COc1nccc(C(N)=O)c1Cl,True,False,4,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_cns_like_test__00002,test,boundary_precision,L2,spec_v2_cns_like_test,ACCEPT,Nc1cc(N)cc(C=C2SC(=S)NC2=O)c1,True,False,4,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_fragment_tight_train__00001,train,boundary_precision,L3,spec_v2_fragment_tight_train,ACCEPT,CC(F)CN,True,False,3,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBA:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_fragment_tight_train__00002,train,boundary_precision,L2,spec_v2_fragment_tight_train,ACCEPT,CC(O)CNC(=O)CN,True,False,3,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_fragment_tight_train__00003,train,boundary_precision,L3,spec_v2_fragment_tight_train,ACCEPT,NC(=O)c1cccc(F)c1C=C1SC(=S)NC1=O,True,False,3,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_fragment_tight_train__00004,train,boundary_precision,L2,spec_v2_fragment_tight_train,ACCEPT,FCOc1cccc(F)c1,True,False,3,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBA:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_fragment_tight_train__00005,train,boundary_precision,L3,spec_v2_fragment_tight_train,ACCEPT,CC(=O)Oc1cc(C(N)=O)cc(C(N)=O)c1,True,False,3,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_fragment_ultra_dev__00001,dev,boundary_precision,L3,spec_v2_fragment_ultra_dev,ACCEPT,NC(=O)c1cccc(C(N)=O)c1O,True,False,3,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_fragment_ultra_dev__00002,dev,boundary_precision,L2,spec_v2_fragment_ultra_dev,ACCEPT,FCOc1ccccc1Cl,True,False,3,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_fragment_ultra_dev__00003,dev,boundary_precision,L3,spec_v2_fragment_ultra_dev,ACCEPT,NC(=O)c1cccc(C(N)=O)c1O,True,False,3,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_fragment_ultra_dev__00004,dev,boundary_precision,L2,spec_v2_fragment_ultra_dev,ACCEPT,CCC(O)CN,True,False,3,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBA:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_low_rotor_train__00001,train,boundary_precision,L3,spec_v2_low_rotor_train,ACCEPT,NC(=O)c1ccc(C(N)=O)c(C(N)=O)c1,True,False,3,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_low_rotor_train__00002,train,boundary_precision,L2,spec_v2_low_rotor_train,ACCEPT,NC(=O)c1cccc(C(N)=O)c1C(N)=O,True,False,3,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_low_rotor_train__00003,train,boundary_precision,L3,spec_v2_low_rotor_train,ACCEPT,CCOC(=O)NCN,True,False,3,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,ROTB:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_low_rotor_train__00004,train,boundary_precision,L2,spec_v2_low_rotor_train,ACCEPT,NC(=O)c1cccc(C(N)=O)c1C(N)=O,True,False,3,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,ROTB:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_polar_bias_train__00001,train,boundary_precision,L3,spec_v2_polar_bias_train,ACCEPT,CCOC(=O)C(C)N,True,False,3,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_polar_bias_train__00002,train,boundary_precision,L2,spec_v2_polar_bias_train,ACCEPT,NC(=O)c1ccc(C(N)=O)c(C(N)=O)c1,True,False,3,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBA:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_polar_bias_train__00003,train,boundary_precision,L3,spec_v2_polar_bias_train,ACCEPT,NC(=O)c1ccnc(C(N)=O)c1C(N)=O,True,False,3,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_polar_bias_train__00004,train,boundary_precision,L2,spec_v2_polar_bias_train,ACCEPT,Nc1ccccc1OCCCl,True,False,3,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_ro5_balanced_test__00001,test,boundary_precision,L3,spec_v2_ro5_balanced_test,ACCEPT,NCOc1ncccc1C(N)=O,True,False,4,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_sa_relaxed_dev__00001,dev,boundary_precision,L3,spec_v2_sa_relaxed_dev,ACCEPT,Fc1ccccc1,True,False,4,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,ROTB:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_sa_relaxed_dev__00002,dev,boundary_precision,L2,spec_v2_sa_relaxed_dev,ACCEPT,CC(Cl)CF,True,False,4,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_sa_relaxed_dev__00003,dev,boundary_precision,L3,spec_v2_sa_relaxed_dev,ACCEPT,CC(CN)NCCN,True,False,4,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,logP:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_sa_relaxed_dev__00004,dev,boundary_precision,L2,spec_v2_sa_relaxed_dev,ACCEPT,NCCOC(=O)NCCO,True,False,4,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,logP:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_sa_relaxed_dev__00005,dev,boundary_precision,L3,spec_v2_sa_relaxed_dev,ACCEPT,NCCOC(=O)CN,True,False,4,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,logP:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_sa_strict_test__00001,test,boundary_precision,L3,spec_v2_sa_strict_test,ACCEPT,NC(=O)c1ccnc(C(N)=O)c1C(N)=O,True,False,4,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_sa_strict_test__00002,test,boundary_precision,L2,spec_v2_sa_strict_test,ACCEPT,NC(=O)c1cccc(C(N)=O)c1C(N)=O,True,False,4,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBA:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_sa_strict_test__00003,test,boundary_precision,L3,spec_v2_sa_strict_test,ACCEPT,CC(CF)N(C)C,True,False,4,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_sa_strict_test__00004,test,boundary_precision,L2,spec_v2_sa_strict_test,ACCEPT,CC(=O)OCCF,True,False,4,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_sa_strict_test__00005,test,boundary_precision,L3,spec_v2_sa_strict_test,ACCEPT,Nc1cccc(N)n1,True,False,4,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_sa_strict_test__00006,test,boundary_precision,L2,spec_v2_sa_strict_test,ACCEPT,NC(=O)c1ccc(C(N)=O)c(C(N)=O)c1,True,False,4,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,logP:lower:distance=0.05
sgchem_v0.3__contradiction_abstain__spec_v1_basic__00001,train,contradiction_abstain,L1,spec_v1_basic,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v1_basic__00002,train,contradiction_abstain,L1,spec_v1_basic,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v1_basic__00003,train,contradiction_abstain,L1,spec_v1_basic,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v1_basic__00004,train,contradiction_abstain,L1,spec_v1_basic,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v1_basic__00005,train,contradiction_abstain,L1,spec_v1_basic,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v1_basic__00006,train,contradiction_abstain,L1,spec_v1_basic,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v1_basic__00007,train,contradiction_abstain,L1,spec_v1_basic,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v1_basic__00008,train,contradiction_abstain,L1,spec_v1_basic,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_soft_train__00001,train,contradiction_abstain,L1,spec_v2_alert_soft_train,ABSTAIN,,False,True,1,3,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_soft_train__00002,train,contradiction_abstain,L1,spec_v2_alert_soft_train,ABSTAIN,,False,True,1,3,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_soft_train__00003,train,contradiction_abstain,L1,spec_v2_alert_soft_train,ABSTAIN,,False,True,1,3,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_soft_train__00004,train,contradiction_abstain,L1,spec_v2_alert_soft_train,ABSTAIN,,False,True,1,3,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_soft_train__00005,train,contradiction_abstain,L1,spec_v2_alert_soft_train,ABSTAIN,,False,True,1,3,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_soft_train__00006,train,contradiction_abstain,L1,spec_v2_alert_soft_train,ABSTAIN,,False,True,1,3,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_soft_train__00007,train,contradiction_abstain,L1,spec_v2_alert_soft_train,ABSTAIN,,False,True,1,3,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_soft_train__00008,train,contradiction_abstain,L1,spec_v2_alert_soft_train,ABSTAIN,,False,True,1,3,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_strict_dev__00001,dev,contradiction_abstain,L1,spec_v2_alert_strict_dev,ABSTAIN,,False,True,4,1,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_strict_dev__00002,dev,contradiction_abstain,L1,spec_v2_alert_strict_dev,ABSTAIN,,False,True,4,1,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_strict_dev__00003,dev,contradiction_abstain,L1,spec_v2_alert_strict_dev,ABSTAIN,,False,True,4,1,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_strict_dev__00004,dev,contradiction_abstain,L1,spec_v2_alert_strict_dev,ABSTAIN,,False,True,4,1,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_strict_dev__00005,dev,contradiction_abstain,L1,spec_v2_alert_strict_dev,ABSTAIN,,False,True,4,1,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_strict_dev__00006,dev,contradiction_abstain,L1,spec_v2_alert_strict_dev,ABSTAIN,,False,True,4,1,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_strict_dev__00007,dev,contradiction_abstain,L1,spec_v2_alert_strict_dev,ABSTAIN,,False,True,4,1,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_alert_strict_dev__00008,dev,contradiction_abstain,L1,spec_v2_alert_strict_dev,ABSTAIN,,False,True,4,1,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_amide_friendly_dev__00001,dev,contradiction_abstain,L1,spec_v2_amide_friendly_dev,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_amide_friendly_dev__00002,dev,contradiction_abstain,L1,spec_v2_amide_friendly_dev,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_amide_friendly_dev__00003,dev,contradiction_abstain,L1,spec_v2_amide_friendly_dev,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_amide_friendly_dev__00004,dev,contradiction_abstain,L1,spec_v2_amide_friendly_dev,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_amide_friendly_dev__00005,dev,contradiction_abstain,L1,spec_v2_amide_friendly_dev,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_amide_friendly_dev__00006,dev,contradiction_abstain,L1,spec_v2_amide_friendly_dev,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_amide_friendly_dev__00007,dev,contradiction_abstain,L1,spec_v2_amide_friendly_dev,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_amide_friendly_dev__00008,dev,contradiction_abstain,L1,spec_v2_amide_friendly_dev,ABSTAIN,,False,True,1,2,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_aromatic_pref_test__00001,test,contradiction_abstain,L1,spec_v2_aromatic_pref_test,ABSTAIN,,False,True,1,1,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_aromatic_pref_test__00002,test,contradiction_abstain,L1,spec_v2_aromatic_pref_test,ABSTAIN,,False,True,1,1,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_aromatic_pref_test__00003,test,contradiction_abstain,L1,spec_v2_aromatic_pref_test,ABSTAIN,,False,True,1,1,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
sgchem_v0.3__contradiction_abstain__spec_v2_aromatic_pref_test__00004,test,contradiction_abstain,L1,spec_v2_aromatic_pref_test,ABSTAIN,,False,True,1,1,max_steps=1;max_proposals=1;max_verify_calls=0;max_total_verifier_calls=1;max_edit_cost=None,spec_only/no_molecule,,
